"Baseball Team Name","Affiliate: Baseball Team Name","Capacity","Conference","Division","Established","League","Photo","Photo Color","Stadium Address","Stadium Location (Latitude)","Stadium Location (Longitude)","Stadium"
"Aberdeen IronBirds","Baltimore Orioles","6300","New York?Penn League","McNamara","1977","SS","Orioles/IronBirds-Logo.jpg","#0376b8","873 Long Dr, Aberdeen, MD 21001","39.531","-76.187","Leidos Field at Ripken Stadium"
"Akron RubberDucks","Cleveland Indians","7630","Eastern League","Western","1997","AA","Indians/RubberDucks-Logo.png","#f09329","Canal Park, 300 South Main Street, Akron, OH 44308","41.078","-81.522","Canal Park"
"Albuquerque Isotopes","Colorado Rockies","13500","Pacific Coast League","Pacific Southern","2003","AAA","Rockies/Isotopes-Logo.png","#d31145","1601 Avenida Cesar Chavez SE, Albuquerque, NM 87106","35.070","-106.629","Isotopes Park"
"Altoona Curve","Pittsburgh Pirates","7210","Eastern League","Western","1998","AA","Pirates/Curve-Logo.png","#b6101a","1000 Park Ave, Altoona, PA 16602","40.474","-78.395","Peoples Natural Gas Field"
"Amarillo Sod Poodles","San Diego Padres","6631","Texas League","South","2019","AA","Padres/SodPoodles-Logo.png","#113c6f","715 S Buchanan St, Amarillo, TX 79101","35.205","-101.832","HODGETOWN Stadium"
"Arizona Diamondbacks","","48519","National League","NL West","1998","MLB","Diamondbacks/Diamondbacks-Logo.png","#a8122d","401 E Jefferson St, Phoenix, AZ 85004","33.445","-112.067","Chase Field"
"Arkansas Travelers","Seattle Mariners","7200","Texas League","North","1963","AA","Mariners/Travelers-Logo.png","#d31245","400 W Broadway St, North Little Rock, AR 72114","34.756","-92.273","Dickey-Stephens Park"
"Asheville Tourists","Colorado Rockies","4000","South Atlantic League","Southern","1897","A","Rockies/Tourists-Logo.png","#85cebc","30 Buchanan Pl, Asheville, NC 28801","35.587","-82.549","McCormick Field"
"Atlanta Braves","","41084","National League","NL East","1871","MLB","Braves/Braves-Logo.jpg","#a61e34","755 Battery Ave SE, Atlanta, GA 30339","33.891","-84.468","Truist Park"
"Auburn Doubledays","Washington Nationals","2800","New York?Penn League","Pinckney","1958","SS","Nationals/Doubledays-Logo.jpg","#0957a4","130 N Division St, Auburn, NY 13021","42.942","-76.586","Falcon Park"
"Augusta GreenJackets","San Fransisco Giants","5000","South Atlantic League","Southern","1980","A","Giants/GreenJackets-Logo.png","#008265","187 Railroad Ave, North Augusta, SC 29841","33.485","-81.974","SRP Park"
"Baltimore Orioles","","45971","American League","AL East","1901","MLB","Orioles/Orioles-Logo.png","#df4601","333 W Camden St, Baltimore, MD 21201","39.284","-76.622","Camden Yards"
"Batavia Muckdogs","Miami Marlins","2600","New York?Penn League","Pinckney","1939","SS","Marlins/Muckdogs-Logo.png","#d31245","252B State St, Batavia, NY 14020","43.009","-78.179","Dwyer Stadium"
"Beloit Snappers","Oakland Athletics","3501","Midwest League","Western","1982","A","Athletics/Snappers-Logo.jpg","#32aa46","2101 Cranston Rd, Beloit, WI 53511","42.536","-89.008","Telfer Park"
"Billings Mustangs","Cincinnati Reds","3071","Pioneer League","North","1948","R","Reds/Mustangs-Logo.png","#d02030","2611 9th Ave N, Billings, MT 59101","45.791","-108.511","Dehler Park"
"Biloxi Shuckers","Milwaukee Brewers","6076","Southern League","South","2015","AA","Brewers/Shuckers-Logo.png","#0b2b96","105 Caillavet St, Biloxi, MS 39530","30.395","-88.893","MGM Park"
"Binghamton Rumble Ponies","New York Mets","6012","Eastern League","Eastern","1987","AA","Mets/Ponies-Logo.png","#002b5c","211 Henry St, Binghamton, NY 13901","42.103","-75.905","NYSEG Stadium"
"Birmingham Barons","Chicago White Sox","8500","Southern League","North","1885","AA","WhiteSox/Barons-Logo.png","#d11041","1401 1st Ave S, Birmingham, AL 35233","33.508","-86.811","Regions Field"
"Bluefield Blue Jays","Toronto Blue Jays","3000","Appalachian League","East","1937","R","BlueJays/Bluefield-Logo.png","#0f4f97","3000 Bluefield College Dr, Bluefield, VA 24605","37.248","-81.249","Bowen Field"
"Boise Hawks","Colorado Rockies","3452","Northwest League","South","1987","SS","Rockies/Hawks-Logo.jpg","#00471c","5600 N Glenwood St, Boise, ID 83714","43.656","-116.279","Memorial Stadium"
"Boston Red Sox","","37731","American League","AL East","1901","MLB","RedSox/RedSox-Logo.png","#ad4254","4 Jersey St, Boston, MA 02215","42.347","-71.097","Fenway Park"
"Bowie Baysox","Baltimore Orioles","10000","Eastern League","Western","1993","AA","Orioles/Baysox-Logo.jpg","#f47c30","4101 Crain Hwy, Bowie, MD 20716","38.946","-76.709","Prince George's Stadium"
"Bowling Green Hot Rods","Tampa Bay Rays","4559","Midwest League","Eastern","2009","A","Rays/HotRods-Logo.png","#002349","300 E 8th Ave, Bowling Green, KY 42101","36.997","-86.441","Bowling Green Ballpark"
"Bradenton Marauders","Pittsburgh Pirates","8500","Florida State League","South","2010","A+","Pirates/Marauders-Logo.png","#ffc425","1611 9th St W, Bradenton, FL 34205","27.485","-82.570","LECOM Park"
"Bristol Pirates","Pittsburgh Pirates","2200","Appalachian League","West","1969","R","Pirates/Bristol-Logo.png","#ffc424","1501 Euclid Ave, Bristol, VA 24201","36.603","-82.199","Boyce Cox Field"
"Brooklyn Cyclones","New York Mets","7000","New York?Penn League","McNamara","1986","SS","Mets/Cyclones-Logo.png","#1c4882","1904 Surf Ave, Brooklyn, NY 11224","40.575","-73.984","MCU Park"
